region,VIS,AUD,INT,SAL,ATT,PHON,VSWM,EXEC,EPIS,SEM,HIP,VAL,MOT,DMN,LANG,GW
VIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAL,0.55,0.5,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATT,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35
PHON,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0
VSWM,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXEC,0.0,0.0,0.0,0.35,0.45,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.35
EPIS,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.25,0.35,0.0,0.0,0.0,0.0,0.35
SEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35
HIP,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.35
VAL,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
MOT,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.35
DMN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
LANG,0.0,0.4,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.35
GW,0.0,0.0,0.0,0.25,0.4,0.0,0.0,0.45,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
